State,City,Location,location_key
Uttar Pradesh,Lucknow,Kamta,532
Uttar Pradesh,Lucknow,Kamla Nehru Nagar,533
Uttar Pradesh,Lucknow,Omaxe heights,534
Uttar Pradesh,Lucknow,CONCEPT POINT,535
Uttar Pradesh,Lucknow,Vibhuti khand,536
Punjab,Chandigarh,Panchkula,537
Punjab,Chandigarh,KC Cross Road,538
Punjab,Chandigarh,Sector 9,539
Punjab,Chandigarh,Sector 11 Panchkula,540
Punjab,Chandigarh,Sector 8 Panchkula,541
Punjab,Chandigarh,Sector 5,542
Punjab,Chandigarh,Sector 9 Panchkula,543
Punjab,Chandigarh,Opposite Panchkula Bus Stand,544
Punjab,Chandigarh,Manimazra,545
Punjab,Chandigarh,Sector 21,546
Punjab,Chandigarh,Sector 20,547
Punjab,Chandigarh,Manimajra,548
Punjab,Chandigarh,Sector 5 MDC Panchkula,549
Punjab,Chandigarh,Sector 10 Panchkula,550
Punjab,Chandigarh,Sector 125 Mohali,551
Punjab,Chandigarh,Greater Mohali,552
Punjab,Chandigarh,Jal Vayu Vihar,553
Punjab,Chandigarh,New Chd,554
Punjab,Chandigarh,South Mohali,555
Punjab,Chandigarh,Sector 34,556
Punjab,Chandigarh,Chandigarh,557
Punjab,Chandigarh,Zirakpur,558
Punjab,Chandigarh,AiportRoad Mohali,559
Punjab,Chandigarh,Aero Arcade,560
Punjab,Chandigarh,VIP Road,561
Punjab,Chandigarh,Aerocity,562
Punjab,Chandigarh,SECTOR 82,563
Punjab,Chandigarh,Sector 82,564
Madhya Pradesh,Indore,Race Course Road,565
Madhya Pradesh,Indore,Bhawar Kuan,566
Madhya Pradesh,Indore,Khatiwala,567
Madhya Pradesh,Indore,South Tukoganj,568
Madhya Pradesh,Indore,TI MALL,569
Madhya Pradesh,Indore,Sudama Nagar,570
Madhya Pradesh,Indore,Transport Nagar,571
Madhya Pradesh,Indore,Sapna Sangeeta mall,572
Madhya Pradesh,Indore,New Palasia,573
Madhya Pradesh,Indore,Rajendra Nagar,574
Madhya Pradesh,Indore,Bhavarkua,575
Madhya Pradesh,Indore,Beside Rajnandani Hotel,576
